列1	列2	列3	列4	列5	列6	列7	列8
25	vivo V3Max（全网通）	快速充电，指纹解锁，分屏多任务	1798	2016年4月	3.5	5.5	vivo手机
26	vivo Y51A（高配版/全网通）	CD炫彩纹后盖，人脸识别	1098	2015年11月	3.6	5	vivo手机
27	vivo V3（移动4G）	智慧引擎，分屏多任务，知性美颜	1598	2016年4月	3.5	5	vivo手机
28	vivo X6SPlus（全网通）	双天线设计性，双引擎闪充，快速抓拍	2598	2016年4月	4.1	5.7	vivo手机
29	vivo X5Max+（移动4G）	智能光显，HiFi 2.0芯片	2598	2015年3月	3.3	5.5	vivo手机
30	华为Mate 9（Porsche Des	双曲面屏，华为超级闪充技术，双后摄设计	8999	2016年11月	4.6	5.5	华为手机
31	华为Mate 9（MHA-AL00/6G	华为超级闪充技术，双后摄设计，2倍双摄变焦，金融级别安全支付	4999	2016年11月	4.3	5.9	华为手机
32	华为Mate 9 Pro（6GB RAM	双曲屏，指纹识别，三摄像头，PDAF相位对焦	5299	2016年11月	4.6	5.5	华为手机
33	华为畅享6（NCE-AL00/全网通）	多屏互动，轻薄机身，充沛电力	1230	2016年11月	2.9	5	华为手机
34	华为nova（CAZ-TL10/标配版/	一指美拍，十级美颜，华为阅读	1670	2016年10月	3.8	5	华为手机
35	华为麦芒5（MLA-AL10/高配版/全	光学防抖，混合快速对焦，分屏操作，持久续航	2170	2016年7月21日	3.8	5.5	华为手机
36	华为Mate S（CRR-UL00/臻享	2.5D弧面玻璃，压力触控，2.5D玻璃	2150	2015年9月	3.6	5.5	华为手机
37	华为P9 Plus（VIE-AL10/高	徕卡双摄像头，两级压感触控，指纹识别，双IC快速充电	4560	2016年4月	4.1	5.5	华为手机
38	苹果iPhone 7 Plus（国际版/	后置双摄像头，多语言文字同时显示，4K视频摄录	6333	2016年9月16日	3.8	5.5	苹果手机
39	360 手机N4S（骁龙版/全网通）	2.5D玻璃，涡轮闪充，PDAF快速对焦，双色温补光灯	1399	2016年11月2日	4.2	5.5	360手机
40	荣耀畅玩5A（CAM-AL00/全网通）	双卡流量管理，VoLTE高清语音，SWS环绕音效	729	2016年6月	3.5	5.5	荣耀手机
41	荣耀畅玩5（CUN-AL00/全网通）	智电3.0技术，Easy Key，惊艳小屏	669	2016年8月	3.7	5	荣耀手机
42	荣耀8（FRD-AL00/4GB RAM	双镜头，双2.5D玻璃，双功能指纹	2290	2016年7月	4.1	5.2	荣耀手机
43	荣耀畅玩5C（NEM-AL10/高配版/	微信计步，智能识别伪基站	1029	2016年6月	3.8	5.2	荣耀手机
44	荣耀7i（ATH-AL00/全网通）	翻转摄像头，ID无边框，指纹解锁	1399	2015年8月	3.7	5.2	荣耀手机
45	荣耀X2（标准版/双4G）	7英寸巨屏，5000mAh超大容量电池，支持手势控制、语音唤醒等功能，搭载华为智电2.5省电管理技术	1299	2015年3月	3.9	7	荣耀手机
46	OPPO A59s（全网通）	美颜4.0，正面指纹识别，Real原声技术	1999	2016年10月	4.5	5.5	OPPO手机
47	OPPO A59（全网通）	支持OTG功能，指纹识别，自动对焦	1799	2016年6月	4.3	5.5	OPPO手机
48	OPPO A37（全网通）	2.5D弧度屏，美颜4.0，Real原声技术	1299	2016年4月	3.6	5	OPPO手机
49	OPPO R7s（移动4G）	全金属机身，VOOC闪充技术，全局闪拍	2299	2015年10月	4.2	5.5	OPPO手机
50	OPPO R9s Plus（全网通）	微缝天线，双核对焦，VOOC闪充	3499	2016年10月	4	6	OPPO手机
51	OPPO R9 Plus（高配版/全网通	美颜4.0，大容量电池，VOOC快充	3599	2016年4月	4.4	6	OPPO手机
52	OPPO R7 Plus（全网通）	激光对焦，VOOC闪充，大容量电池	2599	2015年5月	4.2	6	OPPO手机
53	OPPO R7s（4GB RAM/全网通	机身厚度仅6.9mm超薄手感佳，一体化机身设计配备了2.5D玻璃，快速充电VOOC闪充技术不用担心没电	2399	2015年10月	4.2	5.5	OPPO手机
54	中兴天机7（顶配版/全网通）	双旗舰独立芯片，双扬声器，随手拍，3D压力屏	4099	2016年5月	4.2	5.5	中兴手机
55	中兴Blade A2（全网通）	2.5D弧面玻璃，3D指纹，PDAF相位对焦，私密空间加密	690	2016年6月	4.1	5	中兴手机
56	中兴天机7（高配版/全网通）	双旗舰独立芯片，双扬声器，随手拍，语音小秘书	3290	2016年5月	4.2	5.5	中兴手机
57	中兴小鲜4（全网通）	全金属机身，3D指纹，智慧语音，PDAF快速对焦	688	2016年7月	3.7	5.2	中兴手机
58	中兴AXON天机（A2015/智汇版/全	背部双摄像头，指纹识别，快速充电	1899	2015年7月	4	5.5	中兴手机
59	中兴AXON Mini（全网通）	和高配版比不支持压力触控，支持指纹识别、眼纹识别、声纹识别等生物识别体验，还有NBA定制版	929	2015年10月	4.1	5.2	中兴手机
60	中兴天机7 Max（全网通）	静脉指纹，全时双路HIFI，裸眼3D	2999	2016年11月3日	4.4	6	中兴手机
61	Moto X Style（XT1570/	5.7英寸2K屏幕，支持TurboPower快速充电器，配备了前置补光灯，依然支持多种材质后壳定制	2999	2015年7月	4	5.7	Moto手机
62	Moto Z Play（全网通）	Moto Mods智能模块，极速涡轮快充，复式三卡设计	2799	2016年9月7日	4.1	5.5	Moto手机
63	金立M5 Plus（全网通）	AMOLED大屏，指纹识别，盲插双主卡	2499	2015年12月	4.5	6	金立手机
64	小米5S plus（标准版/全网通）	黑白彩色双摄像头，高通骁龙821，PDAF相位对焦	2499	2016年9月	3.8	5.7	小米手机
65	小米5S（高配版/全网通）	超声波指纹识别，超感光相机，高通骁龙821	2499	2016年9月	3.5	5.2	小米手机
66	飞利浦V989（双4G）	双触屏翻盖商务旗舰机，移动/联通双4G网络，64位联发科处理器，支持一键节电功能	2499	2015年1月	3.5	3.7	飞利浦手机
67	三星GALAXY C5（C5000/全网	伪基站识别，通知免打扰，UHQA 音乐播放，Samsung Pay三星智付	1809	2016年5月	3.6	5.2	三星手机
68	联想ZUK Z2 Pro（尊享版/全网通	湿手指纹解锁，iCloud同步，血氧心率感测	2398	2016年4月	4.1	5.2	联想ZUK手机
69	华为P9 Plus（VIE-AL10/标	徕卡双摄像头，指纹识别，双IC快速充电	3860	2016年4月	4.1	5.5	华为手机
70	华为Nexus 6P（双4G）	Nexus家族首款加入指纹识别功能的机型，USB Type-C接口，支持快速充电，运行Android 6.0系统	3320	2015年9月	3.5	5.7	华为手机
71	华为Mate S（CRR-UL20/臻逸	特色为压感触控技术，根据用户触控显示屏力度，给出不同的对应功能，支持128GB ROM内存容量	3030	2015年11月	3.6	5.5	华为手机
72	荣耀V8（KNT-AL10/标准版/全网	双摄像头，伪基站识别，3D指纹，影院模式	2290	2016年5月	4.3	5.7	荣耀手机
73	小米MIX（全网通）	支持NFC功能，4G+，PDAF 相位对焦，陶瓷机身	4899	2016年10月	4.2	6.4	小米手机
74	索尼Xperia Z5（双4G）	指纹识别，大扩展容量，0.03秒自动对焦	4499	2015年10月	4.1	5.2	索尼移动手机
75	HTC 10（国际版/双4G）	2K屏幕，双生影像系统，Hi-Res Audio耳蜗音效	4999	2016年4月	3.8	5.2	HTC手机
76	黑莓P9983（联通3G）	黑莓与保时捷合作发布的全键盘的触屏奢华智能手机，售价过万，黑莓OS 10.3系统，不锈钢材质外壳	4750	2014年10月	4	3.1	黑莓手机
77	小米5（高配版/全网通）	前置指纹识别，NFC无线通讯	1888	2016年2月	3.8	5.2	小米手机
78	三星GALAXY C9 Pro（C900	金属机身，支持NFC功能，指纹识别	3088	2016年11月	3.8	6	三星手机
79	三星GALAXY C7（C7000/全网	伪基站识别，通知免打扰，锁键防误触，UHQA高清音频还原	2169	2016年5月	3.6	5.7	三星手机
80	三星W2017（电信4G）	经典翻盖设计，疾速对焦，无线快速充电	2	2016年9月	3.8	4.2	三星手机
81	三星W2016（电信4G）	金属玻璃机身，双面翻盖屏幕，无线充电	9788	2015年11月	3.5	3.9	三星手机
82	三星W2015（电信4G）	翻盖商务机，S健康，心率监测	7000	2014年12月	3.5	3.9	三星手机
83	三星领世旗舰Ⅲ（G9198/双4G）	翻盖双屏，S健康，心率监测	8500	2015年8月	3.7	3.9	三星手机
84	HTC One A9（2GB RAM/双	采用2.5D弧形玻璃设计，支持快速充电，红外遥控，指纹识别等功能，搭载Android OS 6.0操作系统	2100	2015年10月	3.8	5	HTC手机
85	魅族MX6（4GB RAM/全网通）	PDAF相位对焦，快速充电，TDDI高精度显示，mTouch指纹支付	1999	2016年7月	4.4	5.5	魅族手机
86	vivo X5M（移动4G）	全金属中框，HiFi音效	1798	2015年5月	3.3	5	vivo手机
87	三星GALAXY S7（G9308/双4	息屏提醒，防水功能，快速充电，Samsung Pay三星智付	3539	2016年3月	4.2	5.1	三星手机
88	三星GALAXY S6 Edge（G92	双曲面侧屏，大光圈，快速充电	3750	2015年3月	4.1	5.1	三星手机
89	魅族魅蓝Note 3（全网通）	2.5D弧面玻璃，高容量电池，指纹识别	799	2016年4月	4.4	5.5	魅族手机
90	魅族PRO 6（全网通）	双卡盲插，3D Press悬浮压力触控，VoLTE高清语音	2299	2016年4月	4.4	5.2	魅族手机
91	魅族魅蓝5（高配版/全网通）	Face AE 自动人脸识别，适配指纹支付，2.5D弧面玻璃，mTouch 2.1功能	899	2016年10月	3.6	5.2	魅族手机
92	魅族魅蓝5（标准版/全网通）	Face AE 自动人脸识别，适配指纹支付，2.5D弧面玻璃，mTouch 2.1功能	699	2016年10月	3.6	5.2	魅族手机
93	魅族魅蓝E（全网通）	2.5D玻璃，快速充电，PDAF相位对焦	1299	2016年8月10日	4.4	5.5	魅族手机
94	魅族魅蓝3S（标准版/全网通）	支持mPay，mTouch指纹识别，2.5D玻璃，金属机身	699	2016年5月	4.5	5	魅族手机
95	乐视乐Max 2（6GB RAM/全网通	全程数字无损音乐，超声波金属指纹，快充双协议	2299	2016年4月	3.9	5.7	乐视手机
96	nubia Z11 miniS（全网通）	克隆相机2.0，Neovision6.0微距相机，伪基站识别	1499	2016年10月25日	4.1	5.2	努比亚手机
97	乐视乐2（全网通）	数字无损技术，乐闪冲，指纹支付	935	2016年4月	3.6	5.5	乐视手机
98	乐视乐Max（X900/双4G）	大尺寸屏幕，Hi-Fi芯片，触摸式指纹解锁	1499	2015年1月	3.9	6.3	乐视手机
99	乐视乐Max 2（4GB RAM/全网通	数字无损音乐，超声波金属指纹，快充双协议	1358	2016年4月	3.9	5.7	乐视手机
100	乐视乐Pro 3（4GB RAM/全网通	纤薄长续航，双扬声器，CDLA全程数字无损音频标准	1949	2016年9月	3.9	5.5	乐视手机
101	乐视乐1 Pro（双4G）	全金属机身，红外遥控，生态系统	1100	2015年1月	3.6	5.5	乐视手机
102	乐视乐2 Pro（X20版/全网通）	数字无损音乐，乐闪冲，3次阳极氧化工艺	1259	2016年4月	3.2	5.5	乐视手机
103	金立M6 Plus（全网通）	内置安全加密芯片，专线通话，私密空间2.0，超级续航	2999	2016年8月	4.4	6	金立手机
104	金立M6（全网通）	专线通话，私密空间2.0，超级续航	2699	2016年8月	4.5	5.5	金立手机
105	金立天鉴W909（全网通）	仿皮革纹理背部，语音控制，指纹识别	3999	2016年3月	4.6	4.2	金立手机
106	金立S8（全网通）	3D Touch技术，双卡双待盲插，VoLTE高清语音通话	2599	2016年2月	4.5	5.5	金立手机
107	金立S6 Pro（全网通）	视频美颜，视频美颜，分屏模式，出国助手	1999	2016年6月	4	5.5	金立手机
108	金立金钢（GN5001S/全网通）	金属机身，大容量电池，反向充电	999	2016年1月	4.2	5	金立手机
109	金立S6（双4G）	全金属机身，Type C接口，快速充电	1630	2015年11月	4.1	5.5	金立手机
110	vivo Y31A（全网通）	人脸识别技术，一键倾心，全景模式	899	2016年2月	3.3	4.7	vivo手机
111	OPPO A53（移动4G）	金属大屏，快速充电，ISOcell摄像头	1350	2015年11月	4.3	5.5	OPPO手机
112	vivo Y33（移动4G）	具有一“键”倾心功能，长按音量下键能够快速启动相应的功能，支持知性美颜，自定义息屏手势等	998	2015年6月	3.3	4.7	vivo手机
113	美图M6（标准版/全网通）	支持快速充电，PDAF相位对焦，3D双曲面玻璃，指纹识别	2899	2016年6月	4.1	5	美图手机
114	美图M4（双4G）	主打女性用户，4.7英寸720p屏幕，支持前置补光灯，智能美颜等功能，全新MEIOS 2操作系统	1800	2015年4月	4.2	4.7	美图手机
115	诺基亚638（移动4G）	4.5英寸全贴合屏幕，Lumia630的移动4G版，RAM容量增至1GB，卡槽由双卡变为单卡	560	2014年6月	4.3	4.5	诺基亚手机
116	诺基亚Lumia 1320	6英寸WP手机，3400毫安大容量电池，前置30万和后置500万像素的摄像头有点鸡肋，支持超灵敏触控	880	2013年10月	4.1	6	诺基亚手机
117	诺基亚105	35天超长时间待机，价格低廉，但1.4英寸的屏幕并不合适老年人，仅可作为打电话发信息的备用机	119	2013年4月	3.6	1.4	诺基亚手机
118	诺基亚130	主打超长待机，官方数据可达36天待机时间，双卡非智能机，价格便宜，可当备用机使用	160	2014年8月	4.4	1.8	诺基亚手机
119	小米红米4（高配版/全网通）	全网通3.0，双卡双待，指纹识别	999	2016年11月	3.9	5	小米手机
120	小米5S（标准版/全网通）	超声波指纹识别，超感光相机，高通骁龙821	2199	2016年9月	3.5	5.2	小米手机
121	小米Max（全网通/3GB RAM）	伪基站识别，大屏黄金尺寸，悬浮球，指纹识别	1300	2016年5月	3.9	6.4	小米手机
122	小米5（标准版/全网通）	前置指纹识别，NFC无线通讯，快速充电	1688	2016年2月	3.8	5.2	小米手机
123	小米Note2（高配版/全网通）	柔性曲面屏，3D玻璃机身，超高像素相机	3659	2016年11月1日	4.3	5.7	小米手机
124	小米红米Note4（标准版/全网通）	2.5D弧面玻璃，手机分身功能，金属机身， PDAF相位对焦	930	2016年8月	3.4	5.5	小米手机
125	小米红米4（标准版/全网通）	全网通2.0，2.5D玻璃，指纹识别	769	2016年11月	3.9	5	小米手机
126	小米红米4A（全网通）	2.5D玻璃，全网通 2.0，面部识别	529	2016年11月	3.5	5	小米手机
127	小米MIX（尊享版/全网通）	支持NFC功能，4G+，PDAF 相位对焦，陶瓷机身	6259	2016年10月	4.2	6.4	小米手机
128	HTC Desire 10 Pro（全网	支持VoLTE，27.8mm大广角，快速充电	2599	2016年9月	4.1	5.5	HTC手机
129	HTC One M9+（m9pw/双4G	中国特供产品，前置UltraPixel摄像头，后置2000/200万像素双镜头3D立体相机，添加了指纹识别功能	2389	2014年12月	3.8	5.2	HTC手机
130	酷派cool1（乐次元会员版/全网通）	真双摄2.0，酷镜指纹，反向充电	1499	2016年8月	3.9	5.5	酷派手机
131	酷派锋尚MAX（A8-930/全网通）	双系统双微信，指纹识别，快速充电	1099	2015年11月	4.3	5.5	酷派手机
132	酷派cool1（标准版/全网通）	真双摄2.0，酷镜指纹，反向充电	1099	2016年8月	3.9	5.5	酷派手机
133	酷派锋尚（Y75/移动4G）	酷派千元机，支持酷派专利三笔定位，可以三笔实现快速查找联系人，支持刷脸解锁、息屏快启等功能	495	2014年12月	3.3	5.5	酷派手机
134	酷派锋尚Pro（Y90/移动4G）	酷派首款设有按压式指纹识别模块的手机，支持NFC，双卡均支持4G网络，1300万像素的主摄像头	599	2015年5月	3.5	5.5	酷派手机
135	TCL 950（全网通）	2.5D玻璃，支持NFC功能，Quick Charge 3.0	3299	2016年6月	4.1	5.5	TCL手机
136	华硕鹰眼ZenFone Zoom（ZX5	3倍光学变焦，镭射对焦，全层压显示屏	3299	2015年12月	3.8	5.5	华硕手机
137	Gigaset金阶ME（双4G）	Gigaset首款手机，支持指纹识别，可实现一键拍照、一键接电话等，采用快充技术，配备Type-C接口	3288	2015年9月	3.7	5	Gigaset金阶手
138	SUGAR 时尚手机（SS129/16G	机身周边129颗施华洛世奇人工宝石，800万前置摄像头自拍效果出色，后置摄像头有蓝宝石镜头保护	3288	2013年7月	4.6	5	SUGAR手机
139	索尼Xperia X Compact（双	"五轴防抖，三重影像传感技术, Qnovo自适应充电"	3158	2016年4月	3.6	4.6	索尼移动手机
140	索尼Xperia Z3+ Dual（E6	索尼旗舰机，镜面机身设计，2070万像素G镜头，添加了“AR面罩”模式，IP65/IP68级别防水防尘	2350	2015年6月	4.1	5.2	索尼移动手机
141	HTC One X9（双4G）	一体式金属机身，背后采用镂空聚碳酸酯设计，影音效果方面采用了正面双扬声器杜比环绕立体声技术	1990	2015年12月	4.4	5.5	HTC手机
142	联想ZUK Z2（4GB RAM/全网通	永不卡顿2.0，按压式指纹识别，百变锁屏，OTG反向充电	1400	2016年5月	4	5	联想ZUK手机
143	LG Nexus 5X（双4G）	指纹识别，快速充电，NFC无线通讯	2400	2015年9月	4.1	5.2	LG手机
144	小米红米Note2（移动4G）	红外遥控，相位对焦，搭载MIUI7系统	770	2015年8月	3.3	5.5	小米手机
145	荣耀畅玩5C（NEM-AL10/标准版/	智能识别伪基站	988	2016年6月	3.8	5.2	荣耀手机
146	荣耀畅玩5（CUN-TL00/移动4G）	智电3.0技术，Easy Key，惊艳小屏	660	2016年8月2日	3.7	5	荣耀手机
147	荣耀畅玩5C（NEM-TL00H/移动4	微信计步，伪基站提醒，支持盲插	830	2016年4月	3.8	5.2	荣耀手机
148	黑莓Passport（Q30/联通4G）	方形机身外观很是新颖，第三方应用软件偏少，许多流行的Android应用程序植入后多数不能正常运行	3500	2014年6月	4.3	4.5	黑莓手机
149	华为G9青春版（VNS-TL00/移动4	高光C角，指纹识别，高铁模式	1230	2016年5月	3.5	5.2	华为手机
150	华为G9青春版（VNS-AL00/全网通	高光C角，指纹识别，高铁模式	1320	2016年5月	3.5	5.2	华为手机
151	华为G9 Plus（MLA-UL00/双	高清大屏，实时美妆，持久续航	1999	2016年8月18日	3.6	5.5	华为手机
152	华为麦芒5（MLA-AL00/标配版/全	光学防抖，混合快速对焦，分屏操作，持久续航	2000	2016年7月21日	3.8	5.5	华为手机
153	华为G9 Plus（MLA-TL00/移	高清大屏，实时美妆，持久续航	1799	2016年8月18日	3.6	5.5	华为手机
154	华为Mate S（CRR-CL00/臻享	华为高端机，支持前置柔光灯，快速充电，指纹识别等功能，可连接打印机，双卡均可支持4G网络	1950	2015年11月	3.6	5.5	华为手机
155	360 手机Q5 Plus（标准版/全网	安全三系统，防盗保护，智慧双摄2.0	2679	2016年8月30日	4.2	6	360手机
156	锤子科技M1（全网通）	讯飞语音识别技术， Big Bang（大爆炸），指纹识别	2649	2016年10月	4.3	5.2	锤子科技手机
157	LG V10（H968/双4G）	配备了第二显示屏，双前置摄像头，4GB RAM+64GB ROM组合，可拓展至2TB，支持NFC，指纹传感器等	4299	2015年10月	4	5.7	LG手机
158	LG G5（全网通）	模块化底座，可加装电池相机套件，广角镜头	4188	2016年2月	4	5.3	LG手机
159	索尼Xperia Z5 Premium（	指纹识别，大扩展容量	3799	2015年10月	4.1	5.5	索尼移动手机
160	Microsoft Lumia 950 	无线充电，屏幕投影，安全身份识别	3899	2015年10月	3.6	5.7	微软手机
161	奇酷青春版（双4G）	定位年轻人，和尊享/旗舰版比，同样主打安全功能，后置单摄像头，采用联发科处理器，价格差较多	699	2015年8月	3.5	5.5	奇酷手机
162	小米4C（标准版/全网通）	红外遥控功能，双击唤醒，边缘手势识别	700	2015年9月	3.4	5	小米手机
163	IUNI U2（16GB ROM）	4.7英寸1080P屏幕，全金属机身，骁龙800处理器，1600万后置摄像头+400万像素Ultrapixel摄像头	699	2014年3月	4.3	4.7	IUNI手机
164	金立E8（双4G）	金立旗舰机，6英寸2K屏幕，2400万像素主摄像头，支持快速充电、指纹识别、NFC、光学防抖等功能	3999	2015年6月	3.6	6	金立手机
165	锤子科技Smartisan T2（全网通	全金属边框，双面2.5D玻璃，VoLTE高清语音通话	1799	2015年12月	3.9	5	锤子科技手机
166	联想VIBE P1（双4G）	主打商务风范，全金属机身，支持快速充电、指纹识别，5000mAh大容量电池，双卡均可支持4G网络	849	2015年9月	3.7	5.5	联想手机
167	华为畅享5S（TAG-AL00/全网通）	金属机身，指纹识别，指纹支付，快速解锁屏	960	2015年12月	3.1	5	华为手机
168	360 手机N4（全网通）	涡轮闪充，PDAF相位对焦，小视频特效	979	2016年5月	4.1	5.5	360手机
169	360 手机N4S（全网通）	指纹智键，双向充电，财产隔离系统	1259	2016年7月	4.2	5.5	360手机
170	360 手机N4A（全网通）	PDF相位对焦，反向快充，分身功能，双高清语音通话	899	2016年10月18日	4.4	5.5	360手机
171	360 手机f4（高配版/移动4G）	指纹识别，指纹支付，冷藏室功能	779	2016年3月	4	5	360手机
172	360 手机Q5（标准版/全网通）	安全三系统，防盗保护，智慧双摄2.0	2080	2016年8月30日	4.5	5.5	360手机
173	360 手机Q5 Plus（行政版/全网	安全三系统，防盗保护，智慧双摄2.0	2969	2016年8月30日	4.2	6	360手机
174	360 手机f4（标准版/移动4G）	指纹识别，指纹支付，0.4s迅速解锁	479	2016年3月	4	5	360手机
175	360 手机Q5（抗菌版/全网通）	安全三系统，防盗保护，智慧双摄2.0	2199	2016年8月	4.5	5.5	360手机
176	三星2016版GALAXY J7（J71	手掌自拍，NFC无线通讯	1390	2016年3月	4	5.5	三星手机
177	小米4S（高配版/全网通）	指纹识别，4G+网络，VoLTE高清语音视频通话	1360	2016年2月	3.4	5	小米手机
178	魅族魅蓝U10（3GB RAM/全网通）	2.5D弧面玻璃，PDAF相位对焦，指纹识别	1199	2016年9月18日	3.3	5	魅族手机
179	MANN ZUG 5S（高配版/全网通）	稳重扎实的三防机，全网通版本，可同时支持移动/联通/电信 2G/3G/4G卡，内置4050毫安电池	1199	2016年7月	3.8	5	MANN手机
180	朵唯倾城L3C（移动4G）	2.5D弧面屏，支持魔镜cam3.0拍照软件，多种女性专属功能，例如美容闹钟，私密相册，情侣互动等	1140	2015年4月	2.9	5	朵唯手机
181	OPPO R2017（移动4G）	智能遥控，声控美颜，黑屏手势	1099	2014年8月	3.3	4.7	OPPO手机
182	OPPO N1 Mini（N5117/移	4G拍照音乐智能，与OPPO N1相比外形更为迷你，处理器和电池容量也略微缩水，但相机配置有所提升	1999	2014年8月	3.8	5	OPPO手机
183	OPPO U3（6607/移动4G）	加入了AK4961音频降噪芯片，播放音乐时有顶尖的降噪和失真控制，搭载VOOC闪充技术，加入前置柔光	1499	2014年11月	3.3	5.9	OPPO手机
184	金立S7（GN9006/双4G）	双面玻璃机身设计，双卡，有“Image+影像系统”功能，可任意卸载安装拍照功能插件，自定义专属相	1999	2015年2月	3.4	5.2	金立手机
185	中兴Blade A1（C880A/全网通	指纹识别，全网通，多彩机身	549	2015年12月	4.2	5	中兴手机
186	中兴星星2号（S2005/双4G）	属于线上版本，与线下版本在网络支持方面有差异，处理器及内存扩展方面略不同，购买时需注意	528	2014年12月	3.1	5	中兴手机
187	中兴V7 MAX（全网通）	指纹滑动翻页，DTS音效，屏幕投影	1599	2016年4月	3.7	5.5	中兴手机
188	中兴V7 MAX（高配版/全网通）	指纹滑动翻页，DTS音效，屏幕投影	1999	2016年4月	3.7	5.5	中兴手机
189	IUNI U3（双4G）	5.5英寸2K分辨率屏幕，双卡，移动/联通双4G网络，前置400万像素UtralPixel超像素相机	999	2014年8月	4.4	5.5	IUNI手机
190	TCL idol3（i806/5.5/全	全球首款支持180度反转通话的手机，支持眼纹识别技术、手势操作、NFC等功能，内置HI-FI芯片	999	2015年8月	3.7	5.5	TCL手机
191	金立金钢（GN5001/双4G）	无边框ID，反向充电，独立安全信息存储区	999	2015年10月	4.2	5	金立手机
192	PPTV PP King 7s（裸眼3D	主打裸眼3D功能，包括3D影视以及3D游戏，搭载6英寸2K屏幕，支持快速充电，采用全新聚UI操作系统	1799	2015年9月	2.6	6	PPTV手机
193	华硕ZenFone Selfie（晶钻版	前后双摄像头均为1300万像素，均配有双色温闪光灯，支持十级实时美颜效果，晶钻定制后盖	1799	2015年5月	4.4	5.5	华硕手机
194	nubia Z11 Max（全网通）	"随心分屏技术，PDAF相位对焦,DTI像素隔离技术,全局视频通话美颜"	1649	2016年6月	4.2	6	努比亚手机
195	华为畅享5（TIT-AL00/全网通）	智电3.0，双卡盲插，快速充电，反向充电	740	2015年10月	3.1	5	华为手机
196	nubia Z11 mini（全网通）	双微信双QQ，3D降噪，6轴多维度手持防抖	1290	2016年4月	4.2	5	努比亚手机
197	小米5（尊享版/陶瓷版/全网通）	窄边框，正面指纹识别，3D陶瓷机身	2610	2016年2月	3.8	5.2	小米手机
198	小米5S plus（高配版/全网通）	黑白彩色双摄像头，高通骁龙821，PDAF相位对焦	2799	2016年9月	3.8	5.7	小米手机
